STUDY_ID;LAB_ID;INSTITUTE_ID;SAMPLE_SIZE;RANDOM_ALLOCATION;BLINDED_ASSESMENT;EXPERIMENT_FLOW;CONTROL_SELECTION;DOSE_RESPONSE;BASELINE_CHARACTERIZATION;DISEASE_MATCH;MECHANISTIC_RESPONSE;OUTCOME_MATCH;AGE_MATCH;MODEL_REPLICATION;INDEPENDENT_REPLICATION;SPECIES_REPLICATION;ED_STANDARDIZATION;RESEARCH_PURPOSE;TRANSLATIONAL_CLAIM;ORIGINAL_DATASET
Agarwalla_2012;MGH-NS;MGH;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0
Ali_2015;WIBE;WIBE;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0
Allard_2013;CRCHUM;CRCHUM;0;0;0;0;1;0;3;1;1;1;0;1;0;0;0;0;2;1
Bald_2014;ILAS-DDA;ILAS;0;0;0;0;1;0;3;1;1;1;0;0;0;0;0;0;2;0
Beavis_2018;PMCC-DO;PMCC;0;0;0;0;1;0;6;0;1;1;0;1;0;0;0;0;0;1
Belcaid_2014;JHU-DN;JHU;0;0;0;0;1;0;6;1;1;1;0;1;0;0;0;0;0;1
Benzon_2018;BUI;BUI;1;1;0;0;1;0;6;1;1;1;0;0;0;0;0;0;0;0
Bommareddy_2018;RCINJ-SSOR;RCINJ;0;1;0;1;1;0;0;1;1;1;0;1;0;0;0;0;2;0
Briere_2018;MIRAI;MIRAI;0;0;0;0;1;0;6;1;1;1;0;1;0;0;0;0;0;0
Brockwell_2017;LTIMS-DBG;LTIMS;0;1;0;0;1;0;6;1;1;1;0;1;0;0;0;0;2;0
Chen_2017;CCCBD;CCCBD;0;1;0;0;1;0;6;0;1;1;1;1;0;0;0;0;2;0
Choi_2018;UP-DM;UP;0;1;0;0;1;0;6;0;1;1;0;0;0;0;0;0;2;0
Chon_2018;CHABMC-MO;CHABMC;0;1;0;0;1;0;6;1;1;1;0;1;0;0;0;0;1;0
Christmas_2018;BKII;BKII;0;0;0;0;1;0;6;0;1;1;0;1;0;0;0;0;2;0
Clavijo_2017;JHU-HNSB;JHU;0;0;0;0;1;0;3;1;1;1;0;1;0;0;0;0;2;1
Contreras_Sandoval_2016;UN-DPPT;UN;0;1;0;0;1;0;5;1;1;1;0;0;0;0;0;0;0;1
Cui_2017;BLH-DU;BLH;0;1;0;0;1;0;6;0;1;1;0;0;0;0;0;0;1;0
Curran_2010;HHMI;HHMI;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;1;1
Dai_2013;HMC-DP;HMC;0;1;0;0;1;0;6;0;1;1;0;1;0;0;0;0;1;0
Davis_2017;JHU-HNSB;JHU;0;0;0;0;1;1;6;1;1;1;0;1;0;0;0;0;2;0
Dejaegher_2017;KUL-ENN;KUL;0;1;0;0;1;0;6;1;1;1;0;0;0;0;0;0;1;0
Demaria_2005;NYU-DP;NYU;0;1;0;0;1;0;6;1;1;1;0;0;0;0;0;0;1;0
Dorta_Estremera_2018;UT-MDACC;UT;0;0;0;0;1;0;6;1;1;1;0;1;0;0;0;1;1;0
Dovedi_2014;ICS-TTG;ICS;0;0;0;0;1;1;3;0;1;1;0;1;0;0;0;0;2;0
Du_2017;CAS-KLMI;CAS;0;1;0;0;1;0;6;0;1;1;0;0;0;0;0;0;1;0
Duraiswamy_2013;UP-OCRC;UP;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;1;1
DuW_2017;CSCTI-DR;CSCTI;0;0;0;0;1;0;5;1;1;1;0;1;0;0;0;0;1;0
Dyck_2016;TBSI-IRRG;TBSI;0;0;0;0;1;0;3;0;1;1;0;0;0;0;0;0;0;0
Erkes_2016;KCC-DMI;KCC;0;0;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0
Espenscheid_2003;CHNMC-GOS;CHNMC;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;1;0
Evans_2015;VACCINEX;VACCINEX;0;0;0;1;1;1;7;1;1;1;0;1;0;0;0;0;1;0
Fear_2018;NCARD;NCARD;0;0;0;0;1;0;6;1;1;1;0;1;0;0;0;0;2;1
Fecci_2007;DUMC-DN;DUMC;0;0;0;0;1;0;3;0;1;1;0;0;0;0;0;0;0;0
Fend_2017;TRANSGENE;TRANSGENE;0;0;0;0;1;0;6;0;1;1;0;1;0;0;0;0;2;0
Foy_2016;BAVNOR;BAVNOR;0;0;0;0;1;0;6;1;1;1;0;0;0;0;0;0;1;0
Fransen_2013;LUMC-DIBT;LUMC;0;0;0;0;1;1;6;0;1;1;0;1;0;0;0;0;2;0
Fu_2011;UT-MDACC;UT;0;0;0;0;1;0;3;0;1;1;0;1;0;0;0;0;1;0
Gao_2009;UP-DP;UP;0;0;0;0;1;1;5;1;1;1;0;0;0;0;0;0;0;0
Garg_2017;UL-DCMM;UL;1;0;0;0;1;0;6;1;0;1;1;0;0;0;0;2;0;0
Genoud_2018;UG-TRCHO;UG;0;1;0;0;1;0;6;1;1;1;0;1;0;0;0;0;1;0
Giles_2018;CCR-NOB;CCR;0;1;0;0;1;0;6;0;1;1;0;0;0;0;0;0;1;0
Grabosch_2019;MWRI-DO;MWRI;0;0;0;1;1;0;7;1;1;1;0;1;0;0;0;0;1;0
Guan_2018;BTH-DN;BTH;0;1;0;0;0;0;6;1;1;1;0;0;0;0;0;0;1;0
Gunda_2018;MGH-NS;MGH;0;1;0;0;1;0;6;1;1;1;0;0;0;0;0;0;1;0
Guo_2013;SH-DGO;SH;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;2;0
Guo_2014;SH-DGO;SH;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;2;0
Guo_2015;SH-DGO;SH;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;1;0
Hallett_2011;MCW-DP;MCW;0;0;0;0;0;0;3;1;1;1;0;0;0;0;0;0;0;0
Hartley_2018;CSU-DCS;CSU;0;1;0;0;1;0;4;0;1;1;0;0;0;0;0;0;1;0
He_2017;TSHJ-DO;TSHJ;0;1;0;0;1;0;6;0;1;1;0;0;0;0;0;0;1;0
Hebb_2017;SUSM-DO;SUSM;0;0;0;0;0;0;6;0;0;1;0;1;0;0;0;0;2;1
Holmgaard_2013;MSKCC-DI;MSKCC;0;0;0;0;1;0;5;0;1;1;0;1;0;0;0;0;1;1
Holmgaard_2016;MSKCC;MSKCC;0;0;0;0;1;0;5;1;1;1;0;1;0;0;0;0;2;1
Hu_2016;UMCCC;UMCC;0;0;0;0;1;1;5;1;1;1;0;0;0;0;0;0;1;0
Hung_2018;JHU-DN;JHU;0;1;0;0;1;0;6;0;1;1;0;0;0;0;0;0;1;0
Ishihara_2017;UC-IME;UC;1;1;0;1;1;1;7;1;1;1;0;1;0;0;0;0;1;0
Jayaprakash_2018;UT-MDACC;UT;0;0;0;0;1;0;6;1;1;1;0;1;0;0;0;0;2;0
Jensen_2013;UC-DIHIM;Uco;0;0;0;0;1;0;3;0;0;1;0;1;0;0;0;0;2;0
Ji_2018;PUCHI-DGSIII;PUCHI;0;0;0;0;1;0;6;0;0;1;0;0;0;0;0;0;1;0
Jiang_2016;WU-DM;WU;1;1;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0
Jiang_2017;UT-MDACC;UT;0;1;0;0;1;0;5;0;1;1;0;0;0;0;0;0;1;0
Johnston_2014;GENENTECH;GENENTECH;1;1;0;0;1;0;3;1;1;1;0;1;0;0;0;0;2;1
Kawakubo_2017;MGHRI-DD;MGHRI;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;1;0
Kearl_2013;MCW-DMMG;MCW;0;0;0;0;1;0;3;0;1;1;0;1;0;0;0;0;1;0
Kim_2014;SKCCC-LCCGT;SKCCC;0;1;0;0;1;0;6;1;1;1;0;1;0;0;0;0;1;0
Kim_2017;JHU-DN;JHU;0;1;0;0;1;0;6;1;1;1;0;0;0;0;0;0;1;1
KimJ_2017;YCC-DRO;YCC;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;2;1
Kleinovink_2017a;LUMC-DIBT;LUMC;0;0;0;0;1;0;3;0;1;1;0;1;0;0;0;0;0;0
Kleinovink_2017b;LUMC-DIBT;LUMC;0;0;0;0;1;0;3;0;1;1;0;1;0;0;0;0;2;0
Kwan_2017;KIICR-DBE;KIICR;0;0;0;1;1;0;7;0;0;1;0;1;0;0;0;0;1;0
Ladomersky_2018;NU-DNS;NU;0;1;0;0;1;0;1;1;1;1;0;1;0;0;0;0;2;0
Lewis_2018;BMS;BMS;0;1;0;0;0;1;5;1;1;1;1;1;0;0;0;0;1;1
Lin_2018;UM-DS;UM;1;0;0;0;1;0;6;1;1;1;0;1;0;0;0;0;1;1
Linch_2015;EACRI;EACRI;0;0;0;0;1;0;3;0;1;1;0;1;0;0;0;0;1;0
Liu_2016;UPCI;UPCI;0;0;0;0;1;0;6;0;1;1;0;1;0;0;0;0;2;0
Liu_2018;BWH-DP;BWH;0;0;0;0;1;0;5;1;1;1;0;1;0;0;0;0;1;1
LiuC_2018;UNC-DPET;UNC;0;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0
Lu_2014;JH-DSO;JH;0;0;0;0;1;0;6;0;1;1;0;1;0;0;0;0;2;1
Lu_2018;UCLA-DNM;UCLA;0;1;0;0;1;0;6;1;1;1;0;0;0;0;0;0;0;0
Luo_2017;SCCC-DP;SCCC;0;1;1;0;1;0;6;1;1;1;0;1;0;0;0;0;1;0
Lussier_2015a;BDI-CIDV;BDI;0;0;0;0;1;0;5;1;1;1;1;0;0;0;0;0;0;1
Lussier_2015b;BDI-CIDV;BDI;0;0;0;0;1;0;5;1;1;1;1;0;0;0;0;0;2;0
Ma_2016;HCM-DOS;HCM;0;0;0;0;1;1;6;0;0;1;0;1;0;0;0;0;1;0
Maisel_2018;UC-IME;UC;0;0;0;0;1;0;5;1;0;1;0;0;0;0;0;0;0;0
Manlove_2016;UM-CI;UM;0;0;0;0;1;0;3;0;1;1;0;0;0;0;0;0;0;0
Marciscano_2018;SKCCC-DROMRS;SKCCC;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;1;0
Markowitz_2018;WCM-DCS;WCM;0;0;0;0;1;0;6;1;1;1;0;0;0;0;0;0;2;0
Mathios_2015;JHU-DN;JHU;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;1;0
Mathios_2016;JHU-DN;JHU;0;1;0;0;1;1;6;0;1;1;0;0;0;0;0;0;2;0
McKee_2017;UQDI;UQDI;0;0;0;0;1;0;6;1;1;1;0;0;0;0;0;0;0;0
Meder_2018;CMMC-DIM;CMMC;0;1;0;0;1;0;6;1;1;1;1;0;0;0;0;0;2;0
Meraz_2018;UT-MDACC;UT;0;1;1;0;1;0;6;1;1;1;0;2;0;0;0;0;2;0
Messenheimer_2017;EACRI-DMMI;EACRI;0;1;0;0;1;0;6;1;1;1;0;0;0;0;0;0;1;1
Mittal_2014;QIMRBMRI-ICIL;QIMRBMRI;0;0;0;0;1;0;6;0;1;1;0;1;0;0;0;0;2;0
Mkrtichyan_2011;NCI-CVS;NCI;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;2;0
Mony_2015;MWRI-DO;MWRI;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;1;0
Moore_2016;JHU-HNSB;JHU;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;1;1
Morales_Kastresana_2013;UN-CIMA;UN;0;0;0;0;1;0;5;1;1;1;0;0;0;0;0;0;1;0
Morisada_2017;JHU-HNSB;JHU;0;0;0;0;1;1;3;0;1;1;0;1;0;0;0;0;2;1
Murillo_2008;UN-CIMA;UN;0;1;0;0;1;0;6;1;1;1;0;1;0;0;0;0;2;0
Natale_2018;UP-DD;UP;0;1;0;0;1;0;6;1;1;1;0;1;0;0;0;0;1;0
Niknam_2018;UT-MDACC;UT;0;0;0;0;1;1;6;0;1;1;0;0;0;0;0;0;2;0
Orillion_2017;SCC;SCC;0;1;0;0;1;0;6;0;1;1;0;1;0;0;0;0;2;0
Orillion_2018;SCC;SCC;0;1;1;1;1;0;7;0;1;1;0;1;0;0;0;0;1;0
Oweida_2018;CU-DRO;CU;0;1;0;0;1;1;3;1;1;1;0;1;0;0;0;0;2;0
Pang_2018;PUFH-DNM;PUFH;0;1;0;0;1;0;6;0;0;1;0;0;0;0;0;0;1;0
Park_2015;MC-DRO;MC;0;1;0;0;1;0;5;0;1;1;0;1;0;0;0;0;1;0
Parra_2017;UTEP-DBS;UTEP;0;0;0;0;1;0;6;0;0;1;0;1;0;0;0;0;1;1
Pencheva_2014;RU-LSCB;RU;0;0;0;0;1;0;6;1;1;1;0;1;0;0;0;0;1;0
Pham_2015;PAWJCBTT-DN;PAWJCBTT;0;0;0;0;1;0;5;1;1;1;0;1;0;0;0;0;1;0
Qiu_2017;MC-DCB;MC;0;0;0;0;1;0;3;1;1;1;0;0;0;0;0;0;0;0
Rajan_2016;MC-DMM;MC;0;0;0;0;1;0;5;0;1;1;0;0;0;0;0;0;2;0
Reardon_2016;DFCC-CNO;DFCC;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;2;1
Redmond_2014;EACRI-RWFCRC;EACRI;0;0;0;0;1;0;5;0;1;1;0;1;0;0;0;0;2;1
Rios_Doria_2015;MEDIMMUNE;MEDIMMUNE;1;1;0;0;1;0;6;0;1;1;0;1;0;0;0;0;2;1
Sagiv_Barfi_2015;SU-DO;SU;0;0;0;0;1;0;6;0;1;1;0;1;0;0;0;0;2;0
Saha_2017;MGH-MNL;MGH;0;1;1;0;1;0;6;1;1;1;0;1;0;0;0;0;2;0
Saha_2018;MGH-MNL;MGH;0;1;1;0;1;1;5;1;1;1;0;1;0;0;0;0;2;0
Schmid_2017;DFCC-DCIV;DFCC;0;1;1;1;1;0;7;0;1;1;0;1;0;0;0;0;1;0
Schoenhals_2018;UT-MDACC;UT;0;0;0;0;1;0;6;1;1;1;1;0;0;0;0;0;2;0
Schwager_2013;PHILOCHEM;PHILOCHEM;0;1;0;0;1;0;6;0;1;1;1;0;0;0;0;0;2;0
Shrimali_2017;GCC;GCC;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;1;0
Simmons_2008;CELLGENESYS;CELLGENESYS;0;0;0;0;1;1;5;0;1;1;0;1;0;0;0;0;0;0
Sivick_2018;ADURO;ADURO;0;1;0;0;1;1;6;0;1;1;0;1;0;0;0;0;2;0
Stone_2017;SKCCC-DO;SKCCC;0;0;0;0;1;0;6;0;1;1;0;1;0;0;0;0;2;0
Sudahiro_2018;UAB-DN;UAB;0;0;0;0;1;0;5;1;1;1;0;0;0;0;0;0;1;0
Taggart_2018;LICP;LICP;1;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;2;1
Takasaka_2018;UCSF-DP;UCSF;0;0;0;0;1;0;6;1;1;1;0;1;0;0;0;0;1;0
Tallon_de_Lara_2018;UZ-IEI;UZ;0;1;0;0;1;0;6;1;1;1;0;0;0;0;0;0;2;0
Tan_2018;UM-DPOM;UM;0;0;0;0;1;1;5;1;1;1;0;1;0;0;0;0;0;0
Tao_2009;JICR-ROD;JICR;0;0;0;0;1;0;5;0;1;1;0;0;0;0;0;0;0;0
Teo_2017;PMCC-DR;PMCC;0;1;0;0;1;0;6;1;1;1;0;0;0;0;0;0;2;0
Ueha_2015;UTO-DMPM;UTO;0;0;0;0;1;0;6;0;1;1;0;1;0;0;0;0;2;0
Umezu_2019;YU-DI;YU;0;0;0;0;0;0;6;0;0;1;0;1;0;0;0;0;1;0
Van_Hooren_2017;UU-DIGP;UU;0;0;0;0;1;1;5;0;0;1;0;0;0;0;0;0;2;0
Vanpouille_Box_2015;NYU-DP;NYU;0;1;0;0;0;0;6;0;0;1;0;0;0;0;0;0;2;0
Vera_Aguilera_2017;MC-DH;MC;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
Wainwright_2014;TBTC;TBTC;0;0;0;0;0;0;5;0;1;1;0;1;0;0;0;0;2;1
Waitz_2011;MSKCC-DI;MSKCC;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;1;0
Wang_2017;UTSMC;UTSMC;0;0;0;0;1;1;3;0;1;1;0;0;0;0;0;0;1;0
Williams_2013;CRUKECMC-AVG;CRUKECMC;0;0;0;0;1;0;6;1;0;1;1;1;0;0;0;0;1;0
WuC_2018;SYUCC-SKLOSC;SYUCC;0;0;0;0;1;0;6;1;1;1;0;1;0;0;0;0;1;0
Yu_2010;CCR-MB;CCR;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;2;0
Zamarin_2014;MSKCC-DM;MSKCC;1;1;0;1;1;0;3;1;1;1;0;1;0;0;0;0;1;1
Zhao_2018;UT-MDACC;UT;0;0;0;0;1;1;6;1;1;1;0;1;0;0;0;0;1;0
Zippelius_2015;UB-UH-DB;UB;0;0;0;0;1;0;5;0;1;1;0;1;0;0;0;0;2;0
Dai_2014;HMC-DP;HMC;0;1;0;0;1;0;6;0;1;1;0;1;0;0;0;0;1;0
Dovedi_2017;ICS-TTG;ICS;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0
Klyushnenkova_2014;DSDU-UM;DSDU;0;1;0;0;1;0;6;0;1;1;0;1;0;0;0;0;0;1
Li_2009;CELLGENESYS;CELLGENESYS;0;0;0;0;1;0;6;0;1;1;0;1;0;0;0;0;1;0
Luheshi_2016;MEDIMMUNE;MEDIMMUNE;1;1;1;0;1;0;6;0;1;1;0;0;0;0;0;0;0;0
Morris_2016;UW-DHO;UW;0;1;0;0;1;0;6;0;1;1;0;1;0;0;0;0;1;0
Murphy_2018;UM-DU;;0;0;0;0;1;0;6;1;1;1;0;0;0;0;0;0;1;0
Silvestrini_2017;UCD-DBE;UCD;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;2;0
Son_2014;DIRMS-DRC;DIRMS;0;0;0;0;1;0;6;0;0;1;0;0;0;0;0;0;1;0
Tran_2017;OCD-NIDOCD;OCD;0;1;0;0;1;0;6;0;1;1;0;1;0;0;0;0;1;0
Van_Woensel_2017;KUL-ENN;KUL;0;0;0;0;1;0;5;1;1;1;0;0;0;0;0;0;1;0
Weir_2016;IMMUNOVACCINE;IMMUNOVACCINE;0;0;0;0;1;0;6;1;0;1;0;0;0;0;0;0;0;0
Woods_2015;HLMCCRI;HLMCCRI;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;0
WuL_2012;TGH-DTS;TGH;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;1;0
Xue_2016;UN-DCO;UN;0;0;0;0;1;0;4;1;1;1;0;0;0;0;0;0;1;0
Yoshimoto_2014;GU-DRO;GU;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0
Zhang_2018;UF-DRO;UF;0;0;0;0;1;1;4;1;1;1;0;1;0;0;0;0;1;0
Zhu_2018;PUMCH-DOG;PUMCH;0;0;0;0;1;0;6;0;0;1;0;0;0;0;0;0;1;0
Elia_2018;IRCCSSRSI-DI;IRCCSSRSI;0;1;0;0;1;0;4;0;1;1;0;1;0;0;0;0;1;0
Highfill_2014;NCI-POB;NCI;1;1;0;0;1;0;4;1;1;1;1;1;0;0;0;0;1;0
Rech_2018;AFCRI;AFCRI;1;1;1;0;1;0;6;1;1;1;0;1;0;0;0;0;2;0
Twyman_Saint_Victor_2015;AFCRI;AFCRI;1;1;1;0;1;0;6;1;1;1;0;1;0;0;0;0;1;0
WangY_2018;UTSMC-CGHD;UTSMC;0;0;0;0;1;0;6;0;1;1;0;0;0;0;0;0;1;0
Winograd_2015;AFCRI;AFCRI;0;1;0;0;1;0;6;1;1;1;0;1;0;0;0;0;1;0
Yonesaka_2018;KU-DMO;KU;0;0;0;0;1;0;6;1;1;1;0;1;0;0;0;0;1;0