"","STUDY_ID","CANCER","N_ITT","N_mAb","TREATMENT_1","TREATMENT_2","TREATMENT_3","CONTROL","AGENT_1","AGENT_2","AGENT_3","OS_HR","OS_HR_LB","OS_HR_UB","PFS_HR","PFS_HR_LB","PFS_HR_UB","MOS","MOS_LB","MOS_UB","MOS_Control","MOS_LB_Control","MOS_UB_Control","PFS","PFS_LB","PFS_UB","PFS_Control","PFS_Control_LB","PFS_Control_UB","DOSE_1","DOSE_2","PHASE","STUDY_NAME","MASK","SOURCE","NCT.Number","INCLUDED","Treatments","mAb","OS_MR","PFS_MR","HR","SE_coef","PFS_SE","antiCTLA4","antiPD1","antiPDL1","antiVEGF","Axitinib","BRAFi","Chemotherapy","gp100","IDOi","MEKi","Radiotherapy"
"103","Mok_2019","NSCLC",1274,637,"antiPD1",NA,NA,"Chemotherapy","Pembrolizumab",NA,NA,0.81,0.71,0.93,0.0676586484738149,0.94,1.21,16.7,13.9,19.7,12.1,11.3,13.3,5.4,4.3,6.2,6.5,6.3,7,"200","","3","KEYNOTE-042","Open-label","PubMed","NCT02220894","IN","antiPD1","Pembrolizumab",-0.322203266820014,0.185403223331363,-0.210721031315653,0.0704861617716088,0.0627367197074748,0,1,0,0,0,0,0,0,0,0,0
"105","Motzer_2015","RCC",821,410,"antiPD1",NA,NA,"Everolimus","Nivolumab",NA,NA,0.73,0.57,0.93,-0.127833371509885,0.75,1.03,25,21.8,NA,19.6,17.6,23.1,4.6,3.7,5.4,4.4,3.7,5.5,"3","","3","CheckMate 025","Open-label","PubMed","NCT01668784","IN","antiPD1","Nivolumab",-0.243346258631729,-0.0444517625708337,-0.3147107448397,0.123543112993318,0.0803036050626025,0,1,0,0,0,0,0,0,0,0,0
"107","Motzer_2019","RCC",1096,550,"antiCTLA4","antiPD1",NA,"SOC","Ipilimumab","Nivolumab",NA,0.71,0.59,0.86,-0.162518929497775,0.73,0.98,NA,NA,NA,NA,NA,NA,9.7,8.1,11.1,9.7,8.3,11.1,"","","","Checkmate 214","Open-label","PubMed","NCT02231749","IN","antiCTLA4_antiPD1","Ipilimumab_Nivolumab",NA,0,-0.342490308946776,0.0977912965360795,0.0726116516950453,1,1,0,0,0,0,0,0,0,0,0
"112","Motzer_2019b","RCC",886,442,"antiPDL1","Axitinib",NA,"Axitinib","Avelumab","Axitinib",NA,0.78,0.55,1.09,-0.49429632181478,0.475,0.79,NA,NA,NA,NA,NA,NA,13.8,11.1,NA,7.2,5.7,9.7,"10","5","3","JAVELIN Renal 101","Open-label","PubMed","NCT02684006","IN","antiPDL1_Axitinib","Avelumab_Axitinib",NA,-0.650587566141149,-0.2484613592985,0.170737349348836,0.131927928438129,0,0,1,0,1,0,0,0,0,0,0
"113","Paz_Ares_2019","SCLC",805,268,"antiCTLA4","antiPDL1","Chemotherapy","Chemotherapy","Tremelimumab","Durvalumab","ICC",0.82,0.682,0.995,-0.174353387144778,0.696,1.005,10.4,9.6,12,10.5,9.3,11.2,4.9,4.7,5.9,5.4,4.8,6.2,"","","3","CASPIAN","Open-label","","NCT03043872","IN","antiCTLA4_antiPDL1_Chemotherapy","Tremelimumab_Durvalumab_ICC",0.00956945101615067,0.0971637484536477,-0.198450938723838,0.0986948731844623,0.091502155177562,1,0,1,0,0,0,1,0,0,0,0
"114","Paz_Ares_2019","SCLC",805,268,"antiPDL1","Chemotherapy",NA,"Chemotherapy","Durvalumab","ICC",NA,0.75,0.625,0.91,-0.22314355131421,0.665,0.959,12.9,11.3,14.7,10.5,9.3,11.2,5.1,4.7,6.2,5.4,4.8,6.2,"","","3","CASPIAN","Open-label","","NCT03043872","IN","antiPDL1_Chemotherapy","Durvalumab_ICC",-0.205852054204149,0.0571584138399488,-0.287682072451781,0.0986606868829369,0.0924911624118704,0,0,1,0,0,0,1,0,0,0,0
"121","NCT02545075","SKCM",182,122,"antiCTLA4",NA,NA,"Chemotherapy","Ipilimumab",NA,NA,1.13,0.87,1.45,-0.105360515657826,0.71,1.15,15.08,12.91,16.1,14.55,13.37,19.19,2.6,2.6,2.63,NA,NA,NA,"3","","3","","Open-label","NCT","NCT02545075","IN","antiCTLA4","Ipilimumab",-0.0357783689623085,NA,0.122217632724249,0.127219645705249,0.125064776682878,1,0,0,0,0,0,0,0,0,0,0
"124","Owonikoko_2021","SCLC",834,280,"antiPD1",NA,NA,"Placebo","Nivolumab",NA,NA,0.84,0.69,1.02,-0.400477566597125,0.56,0.81,10.41,9.46,12.12,9.56,8.18,11.01,1.87,1.61,2.63,NA,NA,NA,"240","","3","CheckMate 451","Double-blinded","NCT","NCT02538666","IN","antiPD1","Nivolumab",-0.0851791555635675,NA,-0.174353387144778,0.099061011310634,0.0968163378400053,0,1,0,0,0,0,0,0,0,0,0
"125","Owonikoko_2021","SCLC",834,279,"antiCTLA4","antiPD1",NA,"Placebo","Ipilimumab","Nivolumab",NA,0.92,0.75,1.12,-0.328504066972036,0.6,0.87,9.17,8.15,10.25,9.56,8.18,11.01,1.74,1.48,2.63,NA,NA,NA,"3","1","3","CheckMate 451","Double-blinded","NCT","NCT02538666","IN","antiCTLA4_antiPD1","Ipilimumab_Nivolumab",0.0416504407949366,NA,-0.083381608939051,0.100364239239945,0.0965538148309077,1,1,0,0,0,0,0,0,0,0,0
"130","Papadimitrakopoulou_2018","NSCLC",578,292,"antiPDL1","Chemotherapy",NA,"Chemotherapy","Atezolizumab","ICC",NA,0.813,0.644,1.025,-0.517514611916787,0.494,0.719,18.1,13,NA,13.6,11.4,15.5,7.6,6.6,8.5,5.2,4.3,5.6,"1200","","3","IMpower132","Open-label","NCT","NCT02657434","IN","antiPDL1_Chemotherapy","Atezolizumab_ICC",-0.285842145529774,-0.379489621704904,-0.207024169434327,0.118225020384278,0.0957266011700343,0,0,1,0,0,0,1,0,0,0,0
"132","Paz_Ares_2018","NSCLC",559,278,"antiPD1","Chemotherapy",NA,"Chemotherapy","Pembrolizumab",NA,NA,0.64,0.49,0.85,-0.579818495252942,0.45,0.7,15.9,13.2,11.3,11.3,NA,NA,6.4,6.2,8.3,4.8,4.3,5.7,"","","3","KEYNOTE-407","Double-blinded","PubMed","NCT02775435","IN","antiPD1_Chemotherapy","Pembrolizumab",-0.341516383507891,-0.287682072451781,-0.446287102628419,0.14478234057818,0.113850842706467,0,1,0,0,0,0,1,0,0,0,0
"133","Planchard_2020","NSCLC",126,62,"antiPDL1",NA,NA,"SOC","Durvalumab",NA,NA,0.63,0.42,0.93,-0.342490308946776,0.49,1.04,11.7,NA,NA,6.8,NA,NA,3.8,NA,NA,2.2,NA,NA,"","","3","ARCTIC","Open-label","NCT","NCT02352948","IN","antiPDL1","Durvalumab",-0.542666229621649,-0.54654370636807,-0.462035459596559,0.198710164999853,0.194754100131913,0,0,1,0,0,0,0,0,0,0,0
"135","Planchard_2020","NSCLC",469,174,"antiCTLA4","antiPDL1",NA,"SOC","Tremelimumab","Durvalumab",NA,0.8,0.61,1.05,-0.261364764134408,0.59,1.01,11.5,NA,NA,8.7,NA,NA,3.5,NA,NA,3.5,NA,NA,"","","3","ARCTIC","Open-label","NCT","NCT02352948","IN","antiCTLA4_antiPDL1","Tremelimumab_Durvalumab",-0.279024009708666,0,-0.22314355131421,0.138744241031274,0.138428612529452,1,0,1,0,0,0,0,0,0,0,0
"137","Popat_2020","MM",144,73,"antiPD1",NA,NA,NA,"Pembrolizumab",NA,NA,1.12,0.74,1.69,0.0582689081239758,0.73,1.53,10.7,7.6,15,12.4,7.4,16.1,2.5,2.1,4.2,3.4,2.2,4.3,"200","","3","PROMISE-meso","Open-label","PubMed","NCT02991482","IN","antiPD1","Pembrolizumab",0.147452731143131,0.307484699747961,0.113328685307003,0.209901736395693,0.187247740354011,0,1,0,0,0,0,0,0,0,0,0
"143","Powles_2018a","MUC",931,467,"antiPDL1",NA,NA,"Chemotherapy","Atezolizumab",NA,NA,0.85,0.73,0.99,NA,NA,NA,8.6,7.8,9.6,8,7.2,8.6,NA,NA,NA,NA,NA,NA,"","","","IMvigor211","Open-label","PubMed","NCT02302807","IN","antiPDL1","Atezolizumab",-0.0723206615796261,NA,-0.162518929497775,0.0777915282356851,NA,0,0,1,0,0,0,0,0,0,0,0
"144","Powles_2020","MUC",1032,346,"antiPDL1",NA,NA,"Chemotherapy","Durvalumab",NA,NA,0.89,0.71,1.11,0.285178942233662,1.124,1.567,14.4,10.4,17.3,12.1,10.4,15,2.3,1.9,3.5,6.7,5.7,7.3,"","","3","DANUBE","Open-label","PubMed","NCT02516241","IN","antiPDL1","Durvalumab",-0.17402275397926,1.06919840346182,-0.116533816255952,0.112703005423863,0.0836668543063578,0,0,1,0,0,0,0,0,0,0,0
"145","Powles_2020","MUC",1032,342,"antiCTLA4","antiPDL1",NA,"Chemotherapy","Tremelimumab","Durvalumab",NA,0.85,0.72,1.02,0.0953101798043249,0.931,1.304,15.1,13.1,18,12.1,10.4,15,3.7,3.4,3.8,6.7,5.7,7.3,"","","3","DANUBE","Open-label","PubMed","NCT02516241","IN","antiCTLA4_antiPDL1","Tremelimumab_Durvalumab",-0.221489291218183,0.593774706746742,-0.162518929497775,0.0930229117637283,0.086800719320391,1,0,1,0,0,0,0,0,0,0,0
"147","Powles_2020b","MUC",700,350,"antiPDL1",NA,NA,"SOC","Avelumab",NA,NA,0.69,0.556,0.863,NA,NA,NA,21.4,18.9,26.1,14.3,12.9,17.9,3.7,3.5,5.5,2,1.9,2.7,"","","","JAVELIN Bladder 100","Open-label","NCT","NCT02603432","IN","antiPDL1","Avelumab",-0.403131384761944,-0.615185639090234,-0.371063681390832,0.114146532924494,NA,0,0,1,0,0,0,0,0,0,0,0
"149","Pujade_Lauraine_2021","OC",566,188,"antiPDL1",NA,NA,"Chemotherapy","Avelumab",NA,NA,1.14,0.867,1.497,0.518793793415168,1.31,2.16,11.8,8.9,14.1,13.1,11.8,15.5,1.9,1.8,1.9,3.5,2.1,4,"","","","JAVELIN Ovarian 200","Open-label","NCT","NCT02580058","IN","antiPDL1","Avelumab",0.104512698735487,0.610909082322973,0.131028262406404,0.138999923049617,0.128224003228244,0,0,1,0,0,0,0,0,0,0,0
"150","Pujade_Lauraine_2021","OC",566,188,"antiPDL1","Chemotherapy",NA,"Chemotherapy","Avelumab","PLD",NA,0.89,0.672,1.179,-0.2484613592985,0.607,1.011,15.7,12.7,18.7,13.1,11.8,15.5,3.7,3.3,5.1,3.5,2.1,4,"","","","JAVELIN Ovarian 200","Open-label","NCT","NCT02580058","IN","antiPDL1_Chemotherapy","Avelumab_PLD",-0.181048482147156,-0.0555698511548108,-0.116533816255952,0.143472247464371,0.132350033665393,0,0,1,0,0,0,1,0,0,0,0
"153","Reck_2016a","NSCLC",305,154,"antiPD1",NA,NA,"Chemotherapy","Pembrolizumab",NA,NA,0.6,0.41,0.89,-0.693147180559945,0.37,0.68,20,NA,NA,20,NA,NA,10.3,6.7,NA,6,4.2,6.2,"200",NA,"3","KEYNOTE-024","Open-label","PubMed","NCT02142738","IN","antiPD1","Pembrolizumab",0,-0.540384426007535,-0.510825623765991,0.201172986146767,0.156882831609846,0,1,0,0,0,0,0,0,0,0,0
"154","Reck_2016b","SCLC",1132,566,"antiCTLA4","Chemotherapy",NA,"Chemotherapy","Ipilimumab","ICC",NA,0.961,0.838,1.102,-0.161343150408763,0.747,0.971,10.22,9.59,10.81,9.95,9.33,10.94,4.63,4.5,4.99,4.44,4.37,4.63,"10","","3","","Double-blinded","PubMed","NCT01450761","IN","antiCTLA4_Chemotherapy","Ipilimumab_ICC",-0.0267740336050571,-0.0419024916540092,-0.0397808700118446,0.0698520900498565,0.0673044712854289,1,0,0,0,0,0,1,0,0,0,0
"156","Ribas_2013","SKCM",655,328,"antiCTLA4",NA,NA,"Chemotherapy","Tremelimumab",NA,NA,0.88,0.7,1.1,NA,NA,NA,12.6,10.8,14.3,10.7,9.36,11.96,NA,NA,NA,NA,NA,NA,"","","","","Open-label","PubMed","NCT00257205 Â ","IN","antiCTLA4","Tremelimumab",-0.163453072489572,NA,-0.127833371509885,0.113850842706467,NA,1,0,0,0,0,0,0,0,0,0,0
"158","Rini_2019","RCC",915,454,"antiPDL1","antiVEGF",NA,"Sunitinib","Atezolizumab","Bevacizumab",NA,0.93,0.76,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","IMmotion151","Open-label","PubMed","NCT02420821","IN","antiPDL1_antiVEGF","Atezolizumab_Bevacizumab",NA,NA,-0.0725706928348354,0.103878926779881,NA,0,0,1,1,0,0,0,0,0,0,0
"160","Rini_2019b","RCC",861,432,"antiPD1","Axitinib",NA,"Sunitinib","Pembrolizumab","Axitinib",NA,0.53,0.38,0.74,-0.371063681390832,0.56,0.84,NA,NA,NA,NA,NA,NA,15.1,12.6,17.7,11,8.7,12.5,"200","5","3","KEYNOTE-426","Open-label","PubMed","NCT02853331","IN","antiPD1_Axitinib","Pembrolizumab_Axitinib",NA,-0.316799471022508,-0.63487827243597,0.170295567819005,0.100364239239945,0,1,0,0,1,0,0,0,0,0,0
"163","Rittmeyer_2017","NSCLC",1225,425,"antiPDL1",NA,NA,"Chemotherapy","Atezolizumab",NA,NA,0.73,0.62,0.87,-0.0512932943875506,0.82,1.1,13.8,11.8,15.7,9.6,8.6,11.2,2.8,2.6,3,4,3.3,4.2,"1200",NA,"3","OAK","Open-label","PubMed","NCT02008227","IN","antiPDL1","Atezolizumab",-0.362905493689368,0.356674943938732,-0.3147107448397,0.0895162762632933,0.0747990653646011,0,0,1,0,0,0,0,0,0,0,0
"165","Rizvi_2020","NSCLC",1118,374,"antiPDL1",NA,NA,"Chemotherapy","Durvalumab",NA,NA,0.96,0.812,1.128,0.215111379616945,1.043,1.475,12.3,10.1,14.9,11.8,10.5,13.3,2.8,2.6,3.1,5.4,4.8,5.6,"","","3","MYSTIC","Open-label","NCT","NCT02453282","IN","antiPDL1","Durvalumab",-0.0414997309067527,0.656779536389071,-0.0408219945202552,0.0822811790768529,0.0885458159148593,0,0,1,0,0,0,0,0,0,0,0
"166","Rizvi_2020","NSCLC",1118,372,"antiCTLA4","antiPDL1",NA,"Chemotherapy","Tremelimumab","Durvalumab",NA,0.94,0.794,1.103,0.22314355131421,1.054,1.485,11.2,9.5,12.9,11.8,10.5,13.3,2.9,2.6,3.4,5.4,4.8,5.6,"","","3","MYSTIC","Open-label","NCT","NCT02453282","IN","antiCTLA4_antiPDL1","Tremelimumab_Durvalumab",0.0521857531705702,0.6216882165778,-0.0618754037180875,0.0815877971487211,0.0878950951646595,1,0,1,0,0,0,0,0,0,0,0
"170","Robert_2011","SKCM",502,250,"antiCTLA4","Chemotherapy",NA,"Chemotherapy","Ipilimumab","Dacarbazine",NA,0.716,0.588,0.872,-0.27443684570176,NA,NA,NA,NA,NA,NA,NA,NA,2.76,2.63,3.29,NA,NA,NA,"10","850","3","","Double-blinded","PubMed","NCT00324155","IN","antiCTLA4_Chemotherapy","Ipilimumab_Dacarbazine",NA,NA,-0.334075112021491,0.100567795379459,NA,1,0,0,0,0,0,1,0,0,0,0
"172","Robert_2014","SKCM",422,210,"antiPD1",NA,NA,"Chemotherapy","Nivolumab",NA,NA,0.42,0.25,0.73,-0.843970070294529,0.34,0.56,16,NA,NA,10.8,9.3,12.1,5.1,2.5,10.8,2.2,NA,NA,"3",NA,"3","CheckMate 066","Double-blinded","PubMed","NCT01721772","IN","antiPD1","Nivolumab",-0.393042588109607,-0.84078317936601,-0.867500567704723,0.28204080647673,0.13477368825406,0,1,0,0,0,0,0,0,0,0,0
"176","Rudin_2020","SCLC",453,228,"antiPD1","Chemotherapy",NA,"Chemotherapy","Pembrolizumab","Etoposide/Platinum",NA,0.8,0.64,0.98,-0.287682072451781,0.61,0.91,10.8,9.2,12.9,9.7,8.6,10.7,4.8,4.3,5.4,4.3,4.2,4.5,"200","","3","KEYNOTE-604","Double-blinded","PubMed","NCT03066778","IN","antiPD1_Chemotherapy","Pembrolizumab_Etoposide/Platinum",-0.107420248620837,-0.110000895214328,-0.22314355131421,0.103543149566758,0.0986606868829369,0,1,0,0,0,0,1,0,0,0,0
"182","Schmid_2018","TNBC",902,451,"antiPDL1","Chemotherapy",NA,"Chemotherapy","Atezolizumab","Paclitaxel",NA,0.84,0.69,1.02,-0.22314355131421,0.69,0.92,21.3,NA,NA,17.6,NA,NA,7.2,NA,NA,5.5,NA,NA,"840","100","3","IMpassion130","Double-blinded","PubMed","NCT02425891","IN","antiPDL1_Chemotherapy","Atezolizumab_Paclitaxel",-0.190808170671273,-0.269332933783584,-0.174353387144778,0.099061011310634,0.071308423765734,0,0,1,0,0,0,1,0,0,0,0
"184","Shitara_2018","GC/GEJC",395,196,"antiPD1",NA,NA,"Chemotherapy","Pembrolizumab",NA,NA,0.82,0.66,1.03,0.2390169004705,1.03,1.57,9.1,6.2,10.7,8.3,7.6,9,1.5,1.4,2,4.1,3.1,4.2,"","","","KEYNOTE-061","Open-label","PubMed","NCT02370498","IN","antiPD1","Pembrolizumab",-0.092018898720252,1.0055218656021,-0.198450938723838,0.116333638150443,0.108195212035736,0,1,0,0,0,0,0,0,0,0,0
"187","Shitara_2020","GC/GEJC",763,256,"antiPD1",NA,NA,"Chemotherapy","Pembrolizumab",NA,NA,0.91,0.69,1.18,0.494696241836107,1.36,1.98,11.1,9.2,12.8,11.1,9.2,12.8,2,1.5,2.8,6.4,5.7,7,"","","3","KEYNOTE-062","Partially blinded","PubMed","NCT02494583","IN","antiPD1","Pembrolizumab",0,1.16315080980568,-0.0943106794712413,0.132566271624521,0.0961245228771635,0,1,0,0,0,0,0,0,0,0,0
"188","Shitara_2020","GC/GEJC",763,257,"antiPD1","Chemotherapy",NA,"Chemotherapy","Pembrolizumab","Cisplatin/5-FU",NA,0.85,0.7,1.03,-0.174353387144778,0.7,1.02,12.5,10.8,13.9,11.1,9.2,12.8,6.9,5.7,7.3,6.4,5.7,7,"200","80/800","3","KEYNOTE-062","Partially blinded","PubMed","NCT02494583","IN","antiPD1_Chemotherapy","Pembrolizumab_Cisplatin/5-FU",-0.118783535989967,-0.0752234212375875,-0.162518929497775,0.0980006435089645,0.099061011310634,0,1,0,0,0,0,1,0,0,0,0
"194","Socinski_2018","NSCLC",692,356,"antiPDL1","Chemotherapy",NA,"ICC","Atezolizumab","Carboplatin","Bevacizumab",0.78,0.64,0.96,-0.478035800943,0.52,0.74,19.2,NA,NA,14.7,NA,NA,8.3,NA,NA,6.8,NA,NA,"","","3","IMpower150","Open-label","PubMed","NCT02366143","IN","antiPDL1_Chemotherapy","Atezolizumab_Carboplatin_Bevacizumab",-0.267062785249045,-0.199332902620491,-0.2484613592985,0.105940398097147,0.0902724282459704,0,0,1,0,0,0,1,0,0,0,0
"195","Spigel_2021","SCLC",569,284,"antiPD1",NA,NA,"Chemotherapy","Nivolumab",NA,NA,0.86,0.72,1.04,0.343589704390077,1.18,1.69,7.46,5.65,9.2,8.38,7.03,10.02,1.45,1.41,1.51,3.78,2.96,4.24,"240","","3","CheckMate 331","Open-label","NCT","NCT02481830","IN","antiPD1","Nivolumab",0.116292500278322,0.958160453199013,-0.150822889734584,0.0969628035958338,0.0924194658543245,0,1,0,0,0,0,0,0,0,0,0
"197","West_2019","NSCLC",723,483,"antiPDL1","Chemotherapy",NA,"Chemotherapy","Atezolizumab","Carboplatin/Paclitaxel",NA,0.788,0.636,0.977,-0.447850824604602,0.536,0.763,18.7,15.8,21.2,13.9,12,18.7,7,6.3,7.3,5.5,4.4,5.9,"","","","IMpower130","Open-label","PubMed","NCT02367781","IN","antiPDL1_Chemotherapy","Atezolizumab_Carboplatin/Paclitaxel",-0.296634683723895,-0.241162056816888,-0.238257189124258,0.109690057511621,0.0904881815716333,0,0,1,0,0,0,1,0,0,0,0
"199","Winer_2021","TNBC",622,312,"antiPD1",NA,NA,"Chemotherapy","Pembrolizumab",NA,NA,0.97,0.82,1.15,0.470003629245736,1.33,1.92,9.9,8.3,11.4,10.8,9.1,12.6,2.1,2,2.1,NA,NA,NA,"","","3","KEYNOTE-119","Open-label","NCT","NCT02555657","IN","antiPD1","Pembrolizumab",0.0870113769896299,NA,-0.0304592074847086,0.0868491213116924,0.0930229117637282,0,1,0,0,0,0,0,0,0,0,0
"201","Wu_2019","NSCLC",504,388,"antiPD1",NA,NA,"Chemotherapy","Nivolumab",NA,NA,0.68,0.52,0.9,-0.261364764134408,0.62,0.95,12,10.4,14,9.6,7.6,11.2,2.76,2.37,3.35,2.76,1.64,2.92,"3","","3","CheckMate 078","Open-label","PubMed","NCT02613507","IN","antiPD1","Nivolumab",-0.22314355131421,0,-0.385662480811985,0.143013834624077,0.107181290780787,0,1,0,0,0,0,0,0,0,0,0
"203","Yau_2019","HCC",743,371,"antiPD1",NA,NA,"SOC","Nivolumab",NA,NA,0.85,0.72,1,-0.0725706928348354,1.1,NA,17.4,14,18.5,14.8,12.1,17.3,3.68,3.06,3.88,3.75,3.71,4.47,"240",NA,"3","CheckMate 459","Open-label","NCT","NCT02576509","IN","antiPD1","Nivolumab",-0.161843025450414,0.0188430878014799,-0.162518929497775,0.0829193448347539,NA,0,1,0,0,0,0,0,0,0,0,0
"205","Zhou_2020","NSCLC",425,213,"antiPD1",NA,NA,"Chemotherapy","Pembrolizumab",NA,NA,0.75,0.6,0.95,-0.174353387144778,0.66,1.08,12.9,10.3,16.5,10.6,8.7,12.5,3.3,2.1,4.1,3,2.3,4,"","","3","KEYNOTE-033","Open-label","NCT","NCT02864394","IN","antiPD1","Pembrolizumab",-0.196373310249605,-0.0953101798043248,-0.287682072451781,0.120608735634346,0.128224003228244,0,1,0,0,0,0,0,0,0,0,0
